Yayasan,Alamat,Telp
Pondok Pesantren Salafiyah Gubug Al Munir,Sememu,
Pondok Pesantren Putra Putri Nurul Istiqomah,Dusun Wetan Sepuran RT 13/05,0334-886272
Pondok Pesantren Miftahul Ulum,Jl. Sumber Waras NO. 2 PPMU,0341-8659487 / 081233933644
Yayasan Pondok Pesantren dan Panti Asuhan Rahmat,Jebon,0321-390645
Pondok Pesantren Al Banaat Gebangsari,"JL. Raya Ngluyu KM 1,7",0358-611864
Pondok Modern Al Barokah,Ngepung,0358-551790
Pondok Pesantren Raudlatul Istiqomah,JL. Klaseman,0335-6861040 / 081336585626
Pondok Pesantren Al Mubarokah,JL. Pesantren 188 RT 06/02,"0343-852197, 031-71846010"
Yayasan Baitul Mutaqin Pokaan,Pokaan Tengah RT 02 RW 06,
Yayasan Pondok Pesantren Khairus Shaleh,Jl. KH. Soleh Ibrohim,
Pondok Pesantren Salafiyah Salafiyah,Sukorejo,
Pondok Pesantren Al Ittihad,Lembung,0328-7706492
Panti Asuhan Muhamadiyah Wiyung,Jl. Gemol 1C / 23A Wiyung,031-671818 / 085730458161 / 08563079366
Pondok Pesantren Al Islah,"Desa Sendag Agung, Kec. Paciran",0322-662891. 661868
Pondok Pesantren Karangasem Paciran Lamongan,"Desa Paciran, Kec. Paciran",0322-661454 / 08523027737
Pondok Pesantren Muhamadiyah Sugio Lamongan,Jl. Telaga Biru 27,
Pondok Pesantren Daar El Fukhar,Kp. Lebak Peundeuy RT 01 RW 4 Desa Pasir Bungur,HP  0813 84 8888 52
Pondok Pesantren Daar El Ishlah,Jl. MUI Malingping Selatan Malingping Lebak Banten,HP  0813 882 375 38
Pondok Pesantren Qubatul Mutadin,Kp. Cikatomas RT 04 RW 4 Desa Cikatomas Kec. Cilograng Kab. Lebak Banten,0859 2005 35 23
Pondok Pesantren Al Falah,"Ds Mekarsari, Kecamatan Cibeber, Kab. Lebak, Prov. Banten",
Pondok Pesantren Al Bina,"Jl. Yonif 320 No.2 Kel. Cadasari, Kec. Cadasari, Kab.Pandeglang",
Pondok Pesantren Al Ishlah,"Desa Kananga, Kec. Menes  Kab. Pandeglang. E-mail: ikhzann@yahoo.com",
Pondok Pesantren Asyahron,"Jl. Raya Serang Km.2 Kadu  Merak Kec. Karang Tanjung, Pandeglang.",0253 - 201388
Pondok Pesantren Baitul Hamdi,"Kampung Nanggorak, Desa Alaswangi No. 1  Kec. Menes,  Pandeglang.",
Yayasan Pondok Pesantren Lingkungan Hidup Al Ihya,"Desa Kaduronyok 19, Ds. Kaduronyok Rt 4/3, Kec. Cisata Pandeglang,",0253 802688/081381886969
Pondok Pesantren Al Hidayah,"Desa. Cilongkang Pondokkahun, Kecamatan Ciomas, Kab.Serang",
Pondok Pesantren Al Irsyad,"Jl. Raya Sukadalem  No.06, Kecamatan Waringin Kurung  Kab. Serang, Prov. Banten",
Pondok Pesantren Darul Taufik,"Kp. Tarikolot, Desa Pabuaran Jaha, Kecamatan Tanjung Manis,  Kabupaten Serang",254601168
Yayasan Pembinaan Pertanian Pesantren Ibnu Salam N,"Kp. Cihideung, Rt/Rw 16/05 Ds. Bantarwaru Kec. Cinangka Kab. Serang",HP  0817863290
Yayasan Bina Bhakti Umat Nurul Hidayah,"Desa Pasilian, Kec. Kronjo  Kab. Tangerang",
Yayasan Panti Asuhan Al Mubarok,"Jl. KH. Mustofa No. 27 Poris Plawad Utara Rt. 02/04 Kec. Cipondoh, Kab. Tangerang",
Pondok Pesantren Raudlotulsalaam,"Jl. Gatot Subroto KM 3, Kel. Cimone, Kec. Karawaci, Kota Tangerang",021 5520776 / 08129582602
Pondok Pesantren Yambuul Ulum,"Kampung Kebon Kelapa, Rt05/04, Desa Pasar Kemis, Kec. Pasar Kemis, Kab. Tangerang, Prov. Banten","021 59304645, 5928517"
Yayasan Pendidikan Islam Miftahussalam Madrasah Ib,"Jl Untung Suropati I, Cimone Jaya, Kec. Karawaci, Kota Tangerang,","021 9227870, HP  0815844955429"
Pondok Pesantren Daarul Afkar,"Kp. Cihanggasa, Ds. Kertamukti, Kec. Sumur, Kab. Pandeglang, Banten",081806140182
Pondok Pesantren Daarul Albaab,"Kp. Tambak Baya, Desa Salapraya, Kec. Jiput, Kab. Pandeglang, Banten",
Pondok Pesantren Modern Darussalam,"Jl. Cilaja Km.01 Ciekek, Benying Cilaja, Pandeglang, Banten",0253 203036/5207085
Pondok Pesantren Sabilu Al Muhtadin,"Jl. Raya Labuhan Km.10, Cihideung, Cimanuk, Pandeglang, Banten",0253 5211116
Pesantren Al Ittihad,"Jl. Syeikh Nawawi, Desa Pedaleman, Kec. Tanara, Serang-Banten.",02198180514 / 081808102984
Pondok Pesantren Al Bayan,"Jl. Raya Cikande Km. 10, Cigalempong, Nameng, Rangkasbitung, Lebak, Banten","0252-5282879, 081310071006"
Pondok Pesantren Daarul Qooriin,Kp. Cibeurem Desa Aweh Kec. Kalanganyar Lebak Banten  PO BOX 35,0252 5501425
Pondok Pesantren Usawatun Hasanah,"Jl. Kopi Maja Km 1 Desa Parungsari - Asajira, Lebak Banten",
Pondok Pesantren Birrul Walidain,Jl. Raya Saketi- Malingping Desa Cililitan Kecamatan Picung (42275) Kab. Pandeglang Prov. Banten,
Pondok Pesantren Daarussalamah,Kp. Kadu Gajah Desa Cening Kecamatan Cikedal Kab. Pandeglang Prov. Banten,
Pondok Pesantren Malnu Pusat Menes,"Jl. Alun-alun Menes Timur, Desa Purwaraja, Kec. Menes, Kab. Pandeglang, Jabar",
Pondok Pesantren Raudhotul Uluum,Jl. H. Jakimin Mukri Kp. Cisampih Desa Kadupayung Kecamatan Menes Kab. Pandeglang Prov. Banten,0253 501312
Pondok Pesantren Salafiah Nurul Ikhwan,Jl. Raya Labuan Saketi Km.20  Kp. Sawah Desa Wanagiri Kecamatan Saketi Kabupaten Pandeglang Prov. Banten.,0813 1637 3189
Pondok Pesantren Syamsul Huda,Jl. Batubantar Bojong huni Desa Gunung Cupu Kecamatan Cimanuk Kabupaten Pandeglang Prov. Banten,
Pondok Pesantren Thoriqotul Huda,Jl. Raya Labuan Km. 20 Kp. Ciandur Kecamatan Saketi Kab. Pandeglang Prov. Banten,HP  081317595033
Pondok Pesantren Daarul Ahibbah,Jl. Warung Salikur Km.8 Kp. Ciguha Ds. Carenang Kec. Carenang,
Pondok Pesantren Darul Hasan,"Jl. Sipon, Kel. Cipondoh Makmur, Kec. Cipondoh, Kota Tangerang, Kab. Banten. 15148.",021 9441782
Pondok Pesantren Yayasan Yatim Piatu An Nuqthah,"Jl. H Rasuna Said Gg Haji Ismail 01/05 Kel. Cipete Kec Pinang Kota Tangerang,",021  70242363
Pondok Pesantren Al Mubasyirin,"Kampung babakan Oko, Rt06/01, Desa Sajira Mekar, Kec. Sajira, Kab. Lebak, BANTEN.",
Pondok Pesantren Nurut Taqwa Seklok,"Kampung Seklok, Desa Sukaresmi, Kec. Sobang, Kab. Lebak, BANTEN.",HP  081906290666
Yayasan Maulana Yusuf,"Kp. Leles Ds. Sawarna Kec.Bayah,",081389765680
Pondok Pesantren Al Ishlah Laksana,"Jl. Raya Rangkas Bitung KM, 4.5 PO BOX 20 Kel. Babakan Kalanganyar, Kec. Pandeglang",
Pondok Pesantren An  Nahdlah,Jl. Kramat Batu Quran Km. 01 No.99 Kec. Cimanuk Kabupaten Pandeglang,
Pondok Pesantren Nurul Ikhlas,"Jl. Raya Jiput, Kamp. Kadudahu, Desa Banyuresmi, Kec. Jipu, Kab. Pandeglang, BANTEN.",0253 804589.
Yayasan Pendidikan Islam Panti Asuhan Yatim Piatu,"Jl. Panti Asuhan, Ceger Jurangmangu Timur, Rt. 03/12 No. 6 pondok Aren Kota Tangerang","731942, 7319420"
Pondok Pesantren Al Miskat,Jl. Raden Denda Kusuma No. 16L Nyomplong,08121034466
Pondok Pesantren Riyadul Mubtadiin Bani Yahya,Kp. Kebun Jeruk,
Pondok Pesantren El Hayat,Jl. Raya Bojen KM. 04 KP. Bojen Pasar,
Pondok Pesantren Miftahul Huda,JL. Raya AMD KP. Pasir Kalapa,0253 55002291
Pondok Pesantren Sabilu El Muhtadin,Jl. Raya Labuan km 10 Cihideung Cimanuk,0253-5211116 / 0818474286
Pondok Pesantren Palahulahkam,JL. KP. KARAMAT CAPAR RT. 01/04. NO. 19,081315961101
Pesantren Manba El Khair,"JL. K. SARNAJA NO. 05, KP. RANCARANJI RT. 01/01",081314759799
Yayasan Al Arobi,"KOMP. PONDOK PESANTREN AL-AROBI, JL. BALARAJA, KRONJO PASAR CAYUR",021-98172813 / 081906259591
Pasraman Pesantian Astiti Puja,"Penarungan, Mengwi, Badung,",HP  08123664168
Subak Wangun Mekar,"Desa Belantik, Kec. Kintamani, Bangli",HP  0852 3829 7557
Pasraman Widya Pesona,"Desa Les, Tejakula, Buleleng",HP  0813 383 93163
Pasraman Gita Shanti Batu Bintang,Dauh Puri Kelod Denpasar Barat Kota Denpasar,08123962771
Pasraman Merdu Kumala,"Peguyangan, Denpasar Utara;",HP  0813 385 58060
Pasraman Shanti Bali,"Dauh Puri Kaja, Denpasar",
Subak Manik Nilam,Jungutan Bebandem Karangasem,08123659047
Subak Abian Dayang Nyuhgading,Desa Mundeh Kec.Selemadeg Barat Kab.Tabanan BALI,
Pondok Pesantren Ihya Ulumudin,"Dusun Tegallinggah, Desa Tegallinggah, Kec Sukasada, Kab Buleleng",081558335705
Pondok Pesantren  Hidayatullah,"Jl Pemogan No.240 Banjar Sakah, Desa Pemogan Kec.Denpasar Selatan , Kota Denpasar,",0361 725075
Kelompok Tani Ternak Tunas Mekar,Banjar Wangbung Desa Adat Guwang Kec. Sukowati Kab. Gianyar,
Yayasan Pasraman Yogadhiparamaguhya,"Banjar Tengah, Desa Blahbatuh, Kec Blahbatuh, Kab. Gianyar.",- 0361-948979
Subak Puspasari,Desa Pakraman Tuwed Kec. Melaya Kab. Jembrana,
Pondok Pesantren Diponegoro,"Jl Gajah Mada No. 60-A Semarapura, Kec. Semarapura, Kab Klungkung",
Lembaga Pendidikan Dakwah dan Sosial Hikmah Founda,"Jl. Kebun Raya Gang Rosela Candikuning II, Candikuning, Kec. Baturiti, Kab. Tabanan  Bali",HP  08123603759
Pura Kahyangan Tiga Desa Pakraman Penarukan,"Desa Penurukan, Kec. Kerambitan, Kab. Tabanan",
Yayasan Widya Santi Dharma,"Desa Candikuning, Kec. Baturiti, Kab. Tabanan",
Subak Mekar Taman Sari,"Dusun Panti, Desa Bantang Kec Kintamani Kab Bangli Bali","HP  081337747242, 08155897970"
Subak Telemba Agung,"Desa Pekraman batur, Kec Kintamani, Kab Bangli.",085238297557
Subak Toyamampeh,Desa Batur Selatan Kec. Kintamani Bangli,HP  08133 874 5316
Subak Ulian Murni,"Desa Pakramen Ulian, Kec. Kintamani, Kab. Bangli, Prov. Bali.",08123665731
Subak Gunung Kutul,"Dusun Pucak Sari, Desa Pucak Sari Kec. Busungbiu Kab. Buleleng Bali .",081558053939
Asram Madu Kesawa,"Perum BB Agung, Desa Baler Bale Agung, Jl. Kenyiri No:4, Kec. Negara, Kab. Jembrana.","0365 42899,40064, 081337004822"
Lembaga Adat Mandiri Pengembangan Agribisnis Pedes,"Dusun Mambang Tengah Desa Mambang Kec, Selemadeg Timur",HP  081337004822
Subak Abian Buana Mekar,"Sei Angkah, Kec. Selemadeg Barat, Kab. Tabanan, Prov. Bali. 081338737503",
Subak Buana Manik Sari,"Desa Belatungan, Kec. Pupuan, Kab Tabanan.",081338739306
Subak Catur Nadi,"Desa Pupuan Sawah, Kec. Selemadeg, Kab. Tabanan.",085237241558
Subak Merta Sari,"Banjar Kedewatan, Desa Mundeh Kauh, Kec. Selemadeg Barat, Kab. Tabanan, Prov. Bali.",081558337328
Subak Taman Sari,"Desa Mundeh Kauh, Kec. Selemadeg Barat, Kab. Tabanan, Prov. Bali.",08564694875
"Subak Tegal, Kelompok Usaha Pengolahan Hasil Terna","Banjar Gadon, Kel. Kerobokan Kaja, Kec. Kuta Utara, Kab. Badung, Bali",
Subak Mekar Bulan Kuning,"Br. Bantang Desa Bantang, Kec Kintamani Kab Bangli Prop Bali",
Subak Tirta Bima,"Desa Gunung Bau, Kec. Kintamani, Kab. Bangli, Bali",
Subak Asta Giri Amerta,"Desa Kerta, Kec. Payangan, Kab. Gianyar, Bali,",0361-7472231
Subak Uma Kawan,"Br. Bukian Kawan, Payangan, Gianyar, Bali,",0361-7450236
Subak Kebon,"Desa Nongan, Kec. Rendang, Kab. Karangasem, Bali",
Subak Abian Batur Juwuk Legi,Desa Jelijih Punggang Kecamatan Pupuan Kabupaten Tabanan.,
Subak Batur Pengedan,Desa Mundeh Kecamatan Selemadeg Barat Kab. Tabanan - Bali,
Subak Merta Sari,"Desa Pakraman Tajen, Desa Tajen Kecamatan Penebel Kab. Tabanan -Bali",
Subak Werdhi Yasa,Desa Wanagiri Kecamatan Selemadeg Kabupaten Tabanan Bali,
Pura Subak Abian Bukit Sari,"Br. Telemba Desa Pekraman Batur Kec.Kintamani Kab.Bangli BALI,",
Subak Abian Merta Sari,Desa Manikliyu Kec.Kintamani Kab.Bangli BALI,
Subak Abian Sari Mukti,Br. Kembangsari Desa Satra Kec.Kintami Kab.Bangli BALI,
Pasraman Paye Santi,Kel. Subagan Kec. Karang Asem Kab. Karangasem,
Pesraman Widya Guna,Kel. Karangasem Kec. Karangasem Kab. Karangasem,
Subak Teja Phala Amerta,Desa Bantiran Kec.Pupuan Kab.Tabanan BALI,
Subak Abian Tunjung Sari,Desa Pesagi Kec.Penebel Kab.Tabanan BALI,
Subak Abian Ulun Desa,Desa Bajera Utara Kec.Selembadeg Kab.Tabanan BALI,
Subak Abian Bangun Biding Sari,BR. DAUSA,
Subak Abian Batur Sari,BANJAR PENATARAN BUJAK,081338046197
Subak Abian Giri Merta,WANAGIRI,081999163651
Subak Abian Palasari,TARO,081353047639
Subak Abian Amerta Nadi,DUSUN PENYABANGAN,081237876136 / 081338213308
Subak Abian Pule Sari,DUSUN MUNTING,
Pasraman Eka Cita,LINGKUNGAN JASRI KALER,
Ashram Satya Loka Parama Sidhi,BANJAR DINAS BELATUNG,
Subak Abian Giri Purana,DALANG,
Subak Abian Amerta Karya,PAJAHAN,
Subak Padpadan,BANJAR PADPADAN,
Pondok Pesantren Al Ikhlas Muhammadiyah,"Jl. W. Monginsidi, Tolobali, Kelurahan Sarae, Kec. Rasande Barat, Kota Bima,",0374 42728 / 085239902998
Pondok Pesantren Salman,"Jl. Kramabura Km.01,  Desa OO, Kec. Dompu, Kab. Dompu",
Pondok Pesantren  Nurul Haramain Putri NW Narmada,"Jln. Hamzamwadi No. 5, Desa Lembuak, Kec. Narmada, Kab Lombok Barat",
Pondok Pesantren Selaparang,"Jl. TGH. Abd Hafiz Desa Kediri, Kec. Kediri, Kab. Lombok Barat",
Pondok Pesantren Al Falah  Islamiyah,"Pancardao Desa Aik Darek, Kec. Batukliang, Kab. Lombok Tengah",
Pondok Pesantren Darus Shiddiqien NW,"Dusun Mertapaok, Desa Aik Darek, Kecamatan Batukliang, Kab.  Lombok Tengah",
Pondok Pesantren Darussholihin,"Desa Kalijaga , Kec. Aikmel  Kab. Lombok Timur",
Pondok Pesantren Nurul Huda NW Gondang,"Jl. Lingkar Madrasah No.1, Desa Gondang, Kec.Gangga, Lombok Barat",
Yayasan Pondok Pesantren Thohir Yasin,"Jl. Patirata Desa  Lendang Nangka, Kec. Masbagik Kab. Lombok Timur",
Pondok Pesantren Al  Muthmainnah,Desa Leseng Kec. Moyohulu  Kab. Sumbawa,08123775807 / 081339747622
Pondok Pesantren Al Falah,"Jl. Lintas Wera Bima, Desa Nipa, Kec. Ambalawi, Kab. Bima , NTB 84153,","081339812592, 085239804043"
Pondok Pesantren Al Muthmainnah,"Jl. Lintas Sampungu, Dusun Sarita, Desa Punti, Kec. Soromandi, Kab. Bima, NTB 84162",85239645769
Pondok Pesantren Al Mukhlishin,"Salama, Kawasan Paradorato, Kec. Parado, Kab Bima.",08124615025
Pondok Pesantren Hidayatullah,"Jl. Lintas Sumbawa, Desa Bara,","0373 22896, 081339734300, 08123725498, 0"
Pondok Pesantren Al Mubasysyirun,"Jl. TGH Hasan Basri, Ds. Karang Montong, Desa Pemenang Timur, Kec. Pemenang, Kab. Lombok Barat 63352",0370 6603217 / 081805282730
Pondok Pesantren Al Manar,"Jl. H. Muhammad Siraj No.01, Desa Seloto, Kec. Taliwang, Kab. Sumbawa Barat, NTB",
Yayasan Al Hikmah,"Jl. Sultan Kaharuddin No 46, Kerato, Kec. Unter Iwes","0371 625783, 085239501014"
Pondok Pesantren Al Anshar Monta Bima NTB,"Jalan Mboto Mboha Monta Kab. Bima NTB,",HP  085239838101
Pondok Pesantren Ulil Albab,"Jl. Lintas Dam Diwu, Moro, Kodepos 84182",
Pondok Pesantren Assaadah ayasan  Assa’adah Isla,"Jl. TGH Lopan No.2 Labuapi, Lombok Barat NTB",
Pondok Pesantren Babussalam,"Jl. TGH Abdul Hafidz, Desa Jagaraga, Kec. Kuripan, Kab. Lombok Barat, NTB.",0370 6639891
Yayasan Pondok Pesantren Tarbiyatul Mustafid,"Batu Rimpang Desa Badrain Kec. Narmada Kab. Lombok Barat, NTB",
Pondok Pesantren Al Mujahidin (Madinatul Najjah Gr,"Tempos, Banyu Urip, Gerung, Lombok Barat",
Yayasan Pondok Pesantren Asmaul Husna NW Aik Bukaq,Jalan Wisata Alam Aik Bone Aik Bukaq Batukliang Utara KP 83552,
Pondok Pesantren Daruttanwir,Jl. Raya Puyung -Bonjeruk Kec. Jonggat Kab. Lombok Tengah,
Yayasan Pondok Pesantren Samsul Huda,Presak Desa Sepakek Kec. Pringgarata Lombok Tengah NTB,
Pondok Pesantren Al Anwary,"Desa Mpuri Kec.Madapangga Kab.Bima,",08123703728
Pondok Pesantren Yayasan As Salam,"Dusun Tanjung Mas Wilamaci, Kec. Monta, Kab. Bima",
Yayasan Ijtihadul Ummah NW,Dusun Lantan Duren Desa Lantan Kec. Batukliang Utara Kab. Lombok Tengah,HP  0819 17455880
Yayasan Pondok Pesantren Mambaul Ulum,"Dusun Pidada Desa Sintung Kec.Pringgarata Kab.Lombok Tengah NTB,",087865143677
Yayasan Nurul Irsyad Nahdlatul Wathan Pesantek,"Dusun Pesantek Daye Desa Setiling Kec.Batukliang Utara Kab.Lombok Tengah 83552,","081917509183, 081917449611"
Pondok Pesantren Al Anshar,JL. MBOTO MBOHA,085239838101
Pondok Pesantren Uswatul Hasanah,JL. WAI KANCIO,
Yayasan Pondok Pesantren Zainul Wathoni NW,SURINOMO,
Yayasan Pondok Pesantren Nurul Hakim,JALAN TARUNA NO. 5 KEDIRI,0370-6175260
Ponpes Arrahmah NW Pringgarata,JLN. HAMZANWADI NO 11 PRINGGARATA 83562,081917093200
Yayasan Pondok Pesantren Hidayaturrahman NW,KECAMATAN PEMEN,
Pondok Pesantren Hijraturrasul NW Karang Bata,JI. SENOPATI V KARANG BATA,"0370-6160178, 6160173, 6160167"
Panti Asuhan Aisyiyah,"Kel. Oebufu, Kec. Maulafa, Kab. Kupang",
Pesantren Mahasiswa El Fatah,"Jl. Keuangan Negara Kel. Walikota, Kec. Oebobo. Kota Kupang.",0380 - 820037. HP  081330655492/ 081339
Pondok Pesantren Miftahudin OE Ekam,"Jl. Raya OE Ekam, Desa Oe Ekam, Kec. Aban Timur, Kab. Soe/Timor Tengah Selatan",0388-22879
Yayasan Pancaran Kasih,"Jl. Ki Hajar Dewantara, Kel. Taubneno, Kec.Kota SOE Kec. Kab. Timur Tengah Selatan",
Yayasan Harapan Bangsa,"Jl. Salak Rt 17, Rw 007, Kel. Oepura, Kec. Manlafa, Kupang NTT.",0380 820550 / 081339001792
Paroki Katedral St. Yoseph,"Jl. Diponergoro, Rt. 002/04, Wairambu-Kotauneng, Maumere, Flores",
Yayasan Pelayanan Kasih (YAPSIH),"Jl. R.W. Monginsidi III, Fataluli Kota Kupang Telp. 0380 - 823752",
Paroki St. Petrus Kanisius Manufui,Mena Timor Tengah Utara,
GMIT Gereja Silo Naikoten,Jl. Advokat No 6 A Naikoten 1,0380 829010
Talena Lain Manulai I,Desa Manulai I Kec. Kupang Barat Kab Kupang,
Paroki Fransiskus Asisi Lamahora,Jln. Frans Lembata-Kab Lembata,
LM3 Yohanes Berkhmans Mataloko,Jl. Negara Ende Bajawa  Desa Malanuza Kab. Ngada,HP  0813 5375 0005
Paroki Santo Arnoldus Jannsen Tambolaka,Jl. Bandara Tambolaka Sumba Barat Daya,0387 -24105
GMIT Jemaat Imanuel Kesetnana,Jl. Ampupu No. 2 Desa Kesetmana Kec. Molio Selatan Kab. TTS,0388- 21370/ 085253250358
Gereja Efata Fatunisuan,"JL. Basuki Rahmad No.37 Kab.Timor Tengah Utara,",0388 31107
Paroki Bunda Allah Ponu,"Kelurahan Ponu,",081339196011
Paroki Santa Filomena,"JL. Basuki Rahmad No.37 Kab.Timor Tengah Utara,","0388 31107, 081339486390"
Paroki Santu Antonius Padua Fafinesu,"Fatuhao Desa Fafinesu B,",0813 391 03965
LM3 Susteran Alma,TULAMALAE,
Santo Fransiskus Asisi,,0389-2325078
LM3 Santo Yohanes Paulus,NUBAMADO,081237619101
LM3 Mera Rate,JL. REDA PADA,081353856478
Paroki Santa Mari Ratu Oeolo,OEOLO,
Keraton Amantubillah,Jl. Adiwijaya No. 1 Kel Pulau Pedalaman Mempawah Kab Pontianak,0852 4523 0003
Pondok Pesantren Al   Jihad,"Jl. Mayjen H. Parjoko S Nanga Tepuai, Kec. Hulu Gurung, Kab Kapuas Hulu 78764",08565016921
Lembaga Dakwah Islamiyah Babul Ulum,"Jl. Simpang empat laut RT02/10, Desa Wojok Hilir, Kec. Siantan Kab. Pontianak",081345379519
Yayasan Darrusalam Sengkubang,"Desa Sengkubang, Kec. Mempawah Hilir, Kab. Pontianak",0561 7709714
Yayasan Media Insan,Jl Pattimura No 15  ( Depan SDN II ) Putussibau Kapuas Hulu Kalbar,HP  081345377966
Yayasan Pondok Pesantren Al Qomar,"Kuala Secapah RT02/01, Kec. Mempawah hilir, Kab. Pontianak, Kalbar","0581691618, 081345555771"
Lembaga Pendidikan Sosial dan Dakwah Darul Faizin,Jl. Danau Sentarum/Jl. Petani No. 4 RT. 19 RW. 1 Kel. Sui Bangkong Kec. Pontianak 78116.,"0561 573902, 7092334, 0816483890, 085650"
Lembaga Pendidikan Islam Al Ihsan,"Jl. Budi Utomo, Kel. Siantan Hulu, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat",
Yayasan Pendidikan dan Sosial Darussalam,"Jl. Tani No.28, Rt7/5, Kec. Saigon, Kec. Pontianak Timur, Kota Pontianak, Kalbar, 78232.","0561 7525522, 085245920920"
Pondok Pesantren Miftahul Ulum,"Jl. Parit Berkat, Rt.16/16, Desa Punggur Besar, Kec. Kakap, Kab. Pontianak, Kalbar.",0561 7022335
Pondok Pesantren Al Asyariyyah Salafiyah,Jl. Khatulitiwa Gg Parwasal Kel. Siantan Tengah Rt. 001/05 Kec. Pontianak Utara Kota Pontianak,0561-7534835/0852525657
Pondok Pesantren dan Panti Asuhan Muthasim Billah,Jl. Purnama II Kel. Parit Tokaya Kec. Pontianak Selatan,0561-7915094/ 081522530407
Pondok Pesantren Darunaim,"Jl. Ampera, Kel. Sei Jawi, Kec. Pontianak Kota, Pontianak, Kalimantan Barat",
Pondok Pesantren Nahdlatus Syubban,Jl. Apel Gg. Apel VII Sui Jawi Luar Pontianak Barat,0561-773930
Yayasan Madinah Pondok Pesantren Darul Muttaqin,Jl. Prof. M.Yamin Gg Morodadi No.5 Pontianak Kalimantan Barat,0561  573799
Gereja Protestan Jemaat Menara Iman Lembaga Tani G,Jl. Lintas Malindo Ds. Suruh Tembawang Kec. Entekong.,0654-31924 HP  081345019809
Yayasan Pondok Pesantren Mambaul Ulum,Perum V No. 89 Ds. Simpang Kanan Kec. Sungai Ambawang Kab. Kubu Raya,/0561-709078 / 081352577693
Lembaga Sosial Dan Keagamaan Al Amin,"Parit Medan Deli Rt.06/06 Desa Sungai Asam Kec.Sungai Raya Kab.Kubu Raya Kalbar,","0561-7933224, 081352501545"
Lembaga Pondok Yatim Piatu Al Mawaddah,Jl. Petani Kel. Sungai Jawi Kec. Pontianak Kota Kab. Pontianak,
Pondok Pesantren Miftahul Ulum,"JL. Parit H.Amin Desa Sel Bakau Besar Darat Kec.SeI Pinyuh Kab.Pontianak Kalbar,",081352680554-081345253117
Lembaga Pendidikan & Dakwah Pondok Pesantren Al Mu,Jl. Khatulistiwa Gg. Parwasal Siantan Tengah Kec. Pontianak Utara Kode Post 78242,0561-7901664/ 081345787725
Al Hidayah,DSN BERINGIN,08125723625
Lembaga Pendidikan Islam Hidayatul Mubtadiin,JL. TRANS KALIMANTANDUSUN PARIT MAYOR,0561-7558794 / 081345787725
Pondok Pesantren Al Husain,JL. PARIT BARU RT. 15 RW. 08,081257408990 / 081952642298 / 0812 56008
Pondok Pesantren Maarif Husnul Yaqin,JALAN PARWASAL DALAM RT 03 RW 24 SIANTAN TENGAH,085245859445
Pondok Pesantren Al Amin,"Jl. Pemuda Km.20, Desa Anjir Palambang, Kec. Pulau Petak, Kabupaten Kapuas",
Pondok Pesantren Al Karomah,"Jl. H. Mustalim RT 16 Kel. Madurejo, Pangkalan Bun, Kab. Kota Waringin Barat",
Pondok Pesantren Bustanul Ulum,"Desa Tamiang Jango No.2, Kec. Patangkep Tutui, Kab Barito Timur, Kalteng.",0517 5507615 / 085248951425
Pondok Pesantren Fajar Islam,"Jl. Lintas Kalimantan Basarang Km 9, Kec. Basarang, Kab. Kapuas, Kalteng",
Pondok Pesantren Al Yusufiyah,Desa Bapinang Hilir Kec. Pulau Hanaut Kab. Kota Waringin Timur. Kalteng.,081349024759
Pondok Pesantren Yasin,"Komplek Yasin, Jl. Negara Km.4, Simpang Nongo, Kel. Jingah, Muara Teweh.",0519 21330 / 085249005096 / 08128998635
Pondok pesantren Al Hasymiyyah,"Jl. A.Yani KM 2, Kelurahan Baru, Rt.17, Pangkalan Bun, Kalteng",
Yayasan Pendidikan Islam Salafiyah Nurul Qomariah,"Jl. Kenangan Rt. 16/3, Bapinang Hulu, Kec. Pulau Hanaut, Kab. Kotawangingin Timur, Kalimantan Tengah,",85249060975
Yayasan Pendidikan Pondok Pesantren sabilal Muhtad,Jl. Jaya Karet RT 04/02 Kec Mentayang Hilir Selatan Samuda Kalteng 0531-23836,
Pondok Pesantren Nahdlatussalam,Ds. Ajir Serapat Tengah Km 11 Kec. Kapuas Timur,
Yayasan Budi Mulya ( Panti Asuhan Dan Ponok Pesant,"Jl. RTA. Milono KM. 1,5  Palangka Raya",0536- 3225651
Yayasan Diniyah Miftahul Ulum,JL. MANUNGGAL VII RT.04,0513-23473
Yayasan Pendidikan Islam Nurul Haq,KUBU,0852 487 28513
Pondok Pesantren Al Mursyidul Amin,Jl. Beringin Desa Makmur Kec. Gambut Kab. Banjar Kalimantan Selatan,0511-7363563 HP  0813 51444441
Pondok Pesantren Darul Ilmi,"Jl. A. Yani KM19, RT 9/4 Ds. Liang Agung, Kec. Landasan Ulin, Kab. Banjarbaru",
Pondok Pesantren Ibnul Amin **),"Jl. K.H. Mahfuz Amin Ds Pamangkih, Kec. Labuan Amas Utara, Kab HST",
Yayasan As Salaam,"Jl. H. Boejasin No. 32 Kel. Angsau, Pelaihari, Kab. Tanah Laut.","0512 - 2707061 , 2700100"
Pondok Pesantren Al Azhar,"Jl. Banyu Barau No.06, Rt.07, Kandangan Barat, Kab. Hulu Sungai Selatan, 71214, Kalsel","0517 5507615, 21789, 081348977382"
